,Asset Turnover (Average),Book Value Per Share * USD,COGS,Cap Spending USD Mil,Dividends USD,EBT Margin,Earnings Per Share USD,Financial Leverage (Average),Free Cash Flow Per Share * USD,Free Cash Flow USD Mil,Gross Margin,Gross Margin %,Interest Coverage,Key Ratios -> Growth,Key Ratios -> Profitability,Margins % of Sales,Net Income USD Mil,Net Int Inc & Other,Net Margin %,Operating Cash Flow USD Mil,Operating Income USD Mil,Operating Margin,Operating Margin %,Other,Payout Ratio % *,Profitability,R&D,Return on Assets %,Return on Equity %,Return on Invested Capital %,Revenue,Revenue USD Mil,SG&A,Shares Mil,Tax Rate %,Working Capital USD Mil,ticker,,Revenue %,Year over Year,3-Year Average,5-Year Average,10-Year Average,Operating Income %,Net Income %,EPS %,Key Ratios -> Cash Flow,Cash Flow Ratios,Operating Cash Flow Growth % YOY,Free Cash Flow Growth % YOY,Cap Ex as a % of Sales,Free Cash Flow/Sales %,Free Cash Flow/Net Income,Key Ratios -> Financial Health,Balance Sheet Items (in %),Cash & Short-Term Investments,Accounts Receivable,Inventory,Other Current Assets,Total Current Assets,Net PP&E,Intangibles,Other Long-Term Assets,Total Assets,Accounts Payable,Short-Term Debt,Taxes Payable,Accrued Liabilities,Other Short-Term Liabilities,Total Current Liabilities,Long-Term Debt,Other Long-Term Liabilities,Total Liabilities,Total Stockholders' Equity,Total Liabilities & Equity,Liquidity/Financial Health,Current Ratio,Quick Ratio,Financial Leverage,Debt/Equity,Key Ratios -> Efficiency Ratios,Efficiency,Days Sales Outstanding,Days Inventory,Payables Period,Cash Conversion Cycle,Receivables Turnover,Inventory Turnover,Fixed Assets Turnover,Asset Turnover,Revenue CNY Mil,Operating Income CNY Mil,Net Income CNY Mil,Earnings Per Share CNY,Dividends CNY,Book Value Per Share * CNY,Operating Cash Flow CNY Mil,Cap Spending CNY Mil,Free Cash Flow CNY Mil,Free Cash Flow Per Share * CNY,Working Capital CNY Mil,Revenue EUR Mil,Operating Income EUR Mil,Net Income EUR Mil,Earnings Per Share EUR,Dividends EUR,Book Value Per Share * EUR,Operating Cash Flow EUR Mil,Cap Spending EUR Mil,Free Cash Flow EUR Mil,Free Cash Flow Per Share * EUR,Working Capital EUR Mil,Revenue CHF Mil,Operating Income CHF Mil,Net Income CHF Mil,Earnings Per Share CHF,Dividends CHF,Book Value Per Share * CHF,Operating Cash Flow CHF Mil,Cap Spending CHF Mil,Free Cash Flow CHF Mil,Free Cash Flow Per Share * CHF,Working Capital CHF Mil,Revenue CAD Mil,Operating Income CAD Mil,Net Income CAD Mil,Earnings Per Share CAD,Dividends CAD,Book Value Per Share * CAD,Operating Cash Flow CAD Mil,Cap Spending CAD Mil,Free Cash Flow CAD Mil,Free Cash Flow Per Share * CAD,Working Capital CAD Mil,Revenue MXN Mil,Operating Income MXN Mil,Net Income MXN Mil,Earnings Per Share MXN,Dividends MXN,Book Value Per Share * MXN,Operating Cash Flow MXN Mil,Cap Spending MXN Mil,Free Cash Flow MXN Mil,Free Cash Flow Per Share * MXN,Working Capital MXN Mil,Revenue ILS Mil,Operating Income ILS Mil,Net Income ILS Mil,Earnings Per Share ILS,Dividends ILS,Book Value Per Share * ILS,Operating Cash Flow ILS Mil,Cap Spending ILS Mil,Free Cash Flow ILS Mil,Free Cash Flow Per Share * ILS,Working Capital ILS Mil,Revenue AUD Mil,Operating Income AUD Mil,Net Income AUD Mil,Earnings Per Share AUD,Dividends AUD,Book Value Per Share * AUD,Operating Cash Flow AUD Mil,Cap Spending AUD Mil,Free Cash Flow AUD Mil,Free Cash Flow Per Share * AUD,Working Capital AUD Mil,Revenue TWD Mil,Operating Income TWD Mil,Net Income TWD Mil,Earnings Per Share TWD,Dividends TWD,Book Value Per Share * TWD,Operating Cash Flow TWD Mil,Cap Spending TWD Mil,Free Cash Flow TWD Mil,Free Cash Flow Per Share * TWD,Working Capital TWD Mil,Revenue ARS Mil,Operating Income ARS Mil,Net Income ARS Mil,Earnings Per Share ARS,Dividends ARS,Book Value Per Share * ARS,Operating Cash Flow ARS Mil,Cap Spending ARS Mil,Free Cash Flow ARS Mil,Free Cash Flow Per Share * ARS,Working Capital ARS Mil,Revenue SEK Mil,Operating Income SEK Mil,Net Income SEK Mil,Earnings Per Share SEK,Dividends SEK,Book Value Per Share * SEK,Operating Cash Flow SEK Mil,Cap Spending SEK Mil,Free Cash Flow SEK Mil,Free Cash Flow Per Share * SEK,Working Capital SEK Mil,Revenue JPY Mil,Operating Income JPY Mil,Net Income JPY Mil,Earnings Per Share JPY,Dividends JPY,Book Value Per Share * JPY,Operating Cash Flow JPY Mil,Cap Spending JPY Mil,Free Cash Flow JPY Mil,Free Cash Flow Per Share * JPY,Working Capital JPY Mil,Revenue KRW Mil,Operating Income KRW Mil,Net Income KRW Mil,Earnings Per Share KRW,Dividends KRW,Book Value Per Share * KRW,Operating Cash Flow KRW Mil,Cap Spending KRW Mil,Free Cash Flow KRW Mil,Free Cash Flow Per Share * KRW,Working Capital KRW Mil,Revenue GBP Mil,Operating Income GBP Mil,Net Income GBP Mil,Earnings Per Share GBP,Dividends GBP,Book Value Per Share * GBP,Operating Cash Flow GBP Mil,Cap Spending GBP Mil,Free Cash Flow GBP Mil,Free Cash Flow Per Share * GBP,Working Capital GBP Mil,Revenue IDR Mil,Operating Income IDR Mil,Net Income IDR Mil,Earnings Per Share IDR,Dividends IDR,Book Value Per Share * IDR,Operating Cash Flow IDR Mil,Cap Spending IDR Mil,Free Cash Flow IDR Mil,Free Cash Flow Per Share * IDR,Working Capital IDR Mil,Revenue RUB Mil,Operating Income RUB Mil,Net Income RUB Mil,Earnings Per Share RUB,Dividends RUB,Book Value Per Share * RUB,Operating Cash Flow RUB Mil,Cap Spending RUB Mil,Free Cash Flow RUB Mil,Free Cash Flow Per Share * RUB,Working Capital RUB Mil,Revenue INR Mil,Operating Income INR Mil,Net Income INR Mil,Earnings Per Share INR,Dividends INR,Book Value Per Share * INR,Operating Cash Flow INR Mil,Cap Spending INR Mil,Free Cash Flow INR Mil,Free Cash Flow Per Share * INR,Working Capital INR Mil,Revenue DKK Mil,Operating Income DKK Mil,Net Income DKK Mil,Earnings Per Share DKK,Dividends DKK,Book Value Per Share * DKK,Operating Cash Flow DKK Mil,Cap Spending DKK Mil,Free Cash Flow DKK Mil,Free Cash Flow Per Share * DKK,Working Capital DKK Mil,,Revenue BRL Mil,Operating Income BRL Mil,Net Income BRL Mil,Earnings Per Share BRL,Dividends BRL,Book Value Per Share * BRL,Operating Cash Flow BRL Mil,Cap Spending BRL Mil,Free Cash Flow BRL Mil,Free Cash Flow Per Share * BRL,Working Capital BRL Mil,Revenue THB Mil,Operating Income THB Mil,Net Income THB Mil,Earnings Per Share THB,Dividends THB,Book Value Per Share * THB,Operating Cash Flow THB Mil,Cap Spending THB Mil,Free Cash Flow THB Mil,Free Cash Flow Per Share * THB,Working Capital THB Mil,Revenue CLP Mil,Operating Income CLP Mil,Net Income CLP Mil,Earnings Per Share CLP,Dividends CLP,Book Value Per Share * CLP,Operating Cash Flow CLP Mil,Cap Spending CLP Mil,Free Cash Flow CLP Mil,Free Cash Flow Per Share * CLP,Working Capital CLP Mil,Revenue COP Mil,Operating Income COP Mil,Net Income COP Mil,Earnings Per Share COP,Dividends COP,Book Value Per Share * COP,Operating Cash Flow COP Mil,Cap Spending COP Mil,Free Cash Flow COP Mil,Free Cash Flow Per Share * COP,Working Capital COP Mil,Revenue PEN Mil,Operating Income PEN Mil,Net Income PEN Mil,Earnings Per Share PEN,Dividends PEN,Book Value Per Share * PEN,Operating Cash Flow PEN Mil,Cap Spending PEN Mil,Free Cash Flow PEN Mil,Free Cash Flow Per Share * PEN,Working Capital PEN Mil,Revenue ZAR Mil,Operating Income ZAR Mil,Net Income ZAR Mil,Earnings Per Share ZAR,Dividends ZAR,Book Value Per Share * ZAR,Operating Cash Flow ZAR Mil,Cap Spending ZAR Mil,Free Cash Flow ZAR Mil,Free Cash Flow Per Share * ZAR,Working Capital ZAR Mil,Revenue PHP Mil,Operating Income PHP Mil,Net Income PHP Mil,Earnings Per Share PHP,Dividends PHP,Book Value Per Share * PHP,Operating Cash Flow PHP Mil,Cap Spending PHP Mil,Free Cash Flow PHP Mil,Free Cash Flow Per Share * PHP,Working Capital PHP Mil,Revenue PLN Mil,Operating Income PLN Mil,Net Income PLN Mil,Earnings Per Share PLN,Dividends PLN,Book Value Per Share * PLN,Operating Cash Flow PLN Mil,Cap Spending PLN Mil,Free Cash Flow PLN Mil,Free Cash Flow Per Share * PLN,Working Capital PLN Mil,Revenue TRY Mil,Operating Income TRY Mil,Net Income TRY Mil,Earnings Per Share TRY,Dividends TRY,Book Value Per Share * TRY,Operating Cash Flow TRY Mil,Cap Spending TRY Mil,Free Cash Flow TRY Mil,Free Cash Flow Per Share * TRY,Working Capital TRY Mil
0,0.92,1.28,40.80,-51,,-6.55,-0.50,6.74,,-11,59.20,59.2,-0.46,,,TTM,-29,-4.09,-6.66,39,-11,-2.46,-2.5,,,TTM,16.42,-6.10,-41.75,-2.32,100.00,437,45.25,58,,,PODD,Latest Qtr,,-20.00,,,,,,,,TTM,,,11.61,-2.57,0.39,,Latest Qtr,55.11,9.43,7.01,1.61,73.15,17.69,8.84,0.32,100.00,5.73,,,8.66,0.60,14.98,68.94,1.24,85.16,14.84,100.00,Latest Qtr,4.88,4.31,6.74,4.65,,TTM,35.81,69.34,47.99,57.17,10.19,5.26,6.27,0.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Latest Qtr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,0.49,1.44,15.75,-17,,-122.11,-2.56,3.05,,-41,84.25,84.3,,,,TTM,-185,1.01,-112.56,-25,-202,-123.12,-123.1,97.03,,TTM,37.83,-54.62,-98.54,-99.44,100.00,164,72.51,72,,,INSY,Latest Qtr,,,,,,,,,,TTM,,,10.28,-25.26,0.22,,Latest Qtr,37.65,7.20,5.70,5.12,55.67,16.69,,27.64,100.00,,,,54.70,9.96,64.66,,2.53,67.19,32.81,100.00,Latest Qtr,0.86,0.69,3.05,,,TTM,63.58,327.79,,,5.74,1.11,3.45,0.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Latest Qtr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,0.83,,-2,,,-1.49,1.14,,-13,,,,,,TTM,-18,,,-11,-18,,,,,TTM,,-65.53,-71.32,-71.10,,,,12,,,NTEC,Latest Qtr,,186.53,,,,,,,,TTM,,,,,0.73,,Latest Qtr,72.58,5.39,,0.28,78.25,21.75,,,100.00,3.61,,,,8.64,12.25,,0.07,12.32,87.68,100.00,Latest Qtr,6.39,6.36,1.14,,,TTM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Latest Qtr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,0.51,11.64,34.67,-51,,4.79,0.61,2.65,,59,65.33,65.3,3.09,,,TTM,49,-2.50,4.52,110,78,7.29,7.3,1.71,,TTM,5.60,2.29,5.60,3.99,100.00,"1,075",50.74,79,5.48,,IART,Latest Qtr,,-84.00,,,,,,,,TTM,,,4.74,5.44,1.20,,Latest Qtr,19.93,7.08,9.61,2.46,39.08,9.60,50.53,0.79,100.00,1.68,0.78,,5.92,0.32,8.69,47.67,5.88,62.24,37.76,100.00,Latest Qtr,4.49,3.11,2.65,1.26,,TTM,52.93,221.30,39.01,235.22,6.90,1.65,4.84,0.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Latest Qtr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,0.59,5.93,42.57,-35,,12.15,0.73,1.80,,150,57.43,57.4,5.11,,,TTM,100,-1.96,13.32,185,106,14.11,14.1,,,TTM,22.69,7.86,13.29,10.49,100.00,753,20.63,137,,,IDTI,Latest Qtr,,-22.22,,,,,,,,TTM,,,4.60,19.91,1.49,,Latest Qtr,26.17,7.46,4.50,1.02,39.14,5.94,44.31,10.60,100.00,2.74,0.14,,4.15,0.20,7.22,34.19,3.01,44.42,55.58,100.00,Latest Qtr,5.42,4.66,1.80,0.62,,TTM,45.49,61.32,41.05,65.76,8.02,5.95,9.44,0.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Latest Qtr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,0.29,,21.92,,,39.02,,2.75,,,78.08,78.1,43.55,,,TTM,,15.83,26.42,,,23.18,23.2,36.91,,TTM,,7.79,24.65,19.64,100.00,,17.99,3,32.48,,IMTE,Latest Qtr,,,,,,,,,,TTM,,,33.67,-29.10,-1.10,,Latest Qtr,5.80,20.14,5.57,3.03,34.54,1.98,63.48,,100.00,0.03,3.65,2.61,,9.74,16.02,,47.60,63.62,36.38,100.00,Latest Qtr,2.16,1.62,2.75,,,TTM,150.15,178.80,65.13,263.82,2.43,2.04,3.77,0.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,3,3,1.19,,4.30,1,-4,-3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Latest Qtr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,0.52,15.16,38.14,"-11,239",1.06,30.21,2.85,1.79,,"11,780",61.86,61.9,29.81,,,TTM,"13,850",2.72,22.31,"23,019","17,067",27.49,27.5,0.73,37.3,TTM,21.11,11.58,20.66,14.58,100.00,"62,082",12.54,"4,858",26.16,,INTC,Latest Qtr,,36.23,,,,,,,,TTM,,,18.10,18.97,0.85,,Latest Qtr,13.77,4.68,5.45,2.18,26.09,31.06,29.47,13.39,100.00,2.80,3.26,,8.88,1.34,16.28,21.64,6.27,44.18,55.82,100.00,Latest Qtr,1.60,1.13,1.79,0.39,,TTM,32.06,97.99,51.92,78.13,11.38,3.72,1.67,0.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Latest Qtr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,0.09,4.87,,-11,,-215.92,-1.51,1.42,,-69,,,,,,TTM,-54,6.06,-215.92,-58,-56,-221.97,-222.0,,,TTM,230.53,-19.67,-27.49,-28.26,100.00,25,91.44,35,,,NTLA,Latest Qtr,,100.00,,,,,,,,TTM,,,44.26,-277.07,1.28,,Latest Qtr,89.20,1.80,,0.92,91.93,5.44,,2.63,100.00,0.88,,,2.38,7.08,10.35,,19.08,29.43,70.57,100.00,Latest Qtr,8.88,8.79,1.42,,,TTM,40.79,,,,8.95,,2.63,0.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Latest Qtr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,0.83,-0.02,175.23,-2,,-205.37,-0.35,,,-6,-75.23,-75.2,-23.26,,,TTM,-10,-9.45,-205.37,-3,-10,-195.92,-195.9,50.76,,TTM,,-170.63,,-519.70,100.00,5,69.92,30,,,IPCI,Latest Qtr,,14.29,,,,,,,,TTM,,,44.29,-110.22,0.54,,Latest Qtr,11.04,22.66,2.81,2.62,39.14,50.65,,10.22,100.00,38.06,19.77,,10.71,6.76,75.30,,36.61,111.91,-11.91,100.00,Latest Qtr,0.52,0.45,,,,TTM,43.91,7.81,84.81,-33.09,8.31,46.71,1.99,0.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Latest Qtr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,0.78,13.75,36.97,-4,0.68,13.78,1.31,1.79,,47,63.03,63.0,49.05,,,TTM,41,0.04,7.13,51,79,13.74,13.7,0.17,51.9,TTM,,5.59,10.07,8.14,100.00,576,49.12,31,31.92,,IPAR,Latest Qtr,,5.77,,,,,,,,TTM,,,0.67,8.18,1.15,,Latest Qtr,30.14,21.07,17.54,1.16,69.91,1.35,26.23,2.51,100.00,7.11,3.14,1.43,8.24,0.69,20.62,5.43,17.97,44.01,55.99,100.00,Latest Qtr,3.39,2.48,1.79,0.10,,TTM,96.61,205.16,85.62,216.15,3.78,1.78,53.78,0.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Latest Qtr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,0.02,15.33,,-22,0.40,51.67,1.15,9.48,,781,,,,,,TTM,650,,47.10,803,713,51.67,51.7,3.70,34.8,TTM,,1.13,10.67,,100.00,"1,380",44.64,412,8.84,,IBKR,Latest Qtr,,43.33,,,,,,,,TTM,,,1.59,56.59,1.20,,Latest Qtr,7.75,44.19,,,,,,,100.00,80.32,0.06,,0.03,,,,,89.45,10.55,100.00,Latest Qtr,,,9.48,,,TTM,,,,,,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Latest Qtr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,0.15,4.45,,-11,,-344.74,-14.80,5.02,,-290,,,-11.74,,,TTM,-369,-22.87,-344.74,-278,-345,-321.87,-321.9,,,TTM,173.34,-53.78,-140.19,-55.93,100.00,107,248.02,25,,,ICPT,Latest Qtr,,-19.50,,,,,,,,TTM,,,10.44,-270.44,0.78,,Latest Qtr,87.92,2.58,,2.55,93.06,3.24,,3.71,100.00,1.79,,,11.90,1.93,15.63,62.81,1.64,80.07,19.93,100.00,Latest Qtr,5.95,5.79,5.02,3.15,,TTM,49.38,,,,7.39,,7.13,0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Latest Qtr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,0.35,23.63,19.20,-38,0.90,58.89,7.26,2.36,,290,80.80,80.8,,,,TTM,258,-1.78,42.94,328,365,60.67,60.7,,12.4,TTM,11.72,15.29,36.20,26.12,100.00,602,8.40,36,28.06,,IDCC,Latest Qtr,,-66.56,,,,,,,,TTM,,,6.34,48.23,1.12,,Latest Qtr,49.96,20.67,,2.74,73.36,0.57,16.02,10.04,100.00,0.59,,2.03,1.37,18.76,22.75,14.55,20.34,57.64,42.36,100.00,Latest Qtr,3.22,3.10,2.36,0.34,,TTM,165.97,,37.74,,2.20,,53.76,0.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Latest Qtr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,1.22,5.51,61.41,-30,0.24,8.12,0.85,2.42,,52,38.59,38.6,13.08,,,TTM,54,-0.71,5.53,82,86,8.83,8.8,2.79,28.8,TTM,,6.75,15.11,10.35,100.00,970,26.96,63,31.87,,TILE,Latest Qtr,,28.00,,,,,,,,TTM,,,3.09,5.38,0.97,,Latest Qtr,9.73,16.68,23.20,3.04,52.65,26.46,8.48,12.41,100.00,6.52,1.87,,12.63,,21.02,27.36,10.22,58.60,41.40,100.00,Latest Qtr,2.50,1.26,2.42,0.66,,TTM,49.42,107.36,30.86,125.92,7.39,3.40,4.55,1.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Latest Qtr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,1.08,1.51,39.58,-0,,19.85,0.29,1.05,,2,60.42,60.4,,,,TTM,2,0.16,18.91,2,2,19.69,19.7,,,TTM,5.96,20.49,22.15,22.15,100.00,12,34.77,7,4.74,,LINK,Latest Qtr,,-37.50,,,,,,,,TTM,,,1.16,13.68,0.72,,Latest Qtr,67.21,11.95,10.83,1.62,91.60,2.76,0.59,5.05,100.00,1.23,,0.64,2.76,,4.63,,,4.63,95.37,100.00,Latest Qtr,19.79,17.10,1.05,,,TTM,49.73,99.49,18.84,130.39,7.34,3.67,34.20,1.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Latest Qtr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,0.72,0.72,31.93,-1,,-36.39,-0.27,1.27,,-6,68.07,68.1,,,,TTM,-14,1.44,-36.39,-5,-14,-37.83,-37.8,3.62,,TTM,62.41,-26.37,-32.54,-32.54,100.00,37,39.87,50,,,IMI,Latest Qtr,,-71.43,,,,,,,,TTM,,,2.57,-15.71,0.43,,Latest Qtr,54.50,7.66,,2.24,64.40,15.63,6.79,13.18,100.00,2.23,,,7.95,4.45,14.63,,6.66,21.29,78.71,100.00,Latest Qtr,4.40,4.25,1.27,,,TTM,34.73,,20.64,,10.51,,3.88,0.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Latest Qtr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
